               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11297,            0.024603,            0.072452,                   0,                   0,                   0,                   0,             0.11286,            0.015914,            0.069225,              0.0829,              0.0019,              0.0019
                   1,             0.10958,            0.024582,            0.072233,                   0,                   0,                   0,                   0,             0.11196,             0.01608,            0.069203,            0.064896,           0.0038961,           0.0038961
                   2,             0.10477,            0.025991,             0.07173,                   0,                   0,                   0,                   0,             0.11217,            0.016088,            0.069193,            0.046888,           0.0058883,           0.0058883
                   3,             0.10101,            0.026869,            0.071668,          3.0788e-05,            0.045455,          3.9283e-05,          5.1808e-06,             0.11302,            0.016034,            0.069235,            0.028877,           0.0078765,           0.0078765
                   4,            0.098267,            0.026836,            0.070347,          7.0097e-05,            0.045455,          9.3897e-05,          1.4743e-05,              0.1034,            0.016219,            0.069951,            0.010861,           0.0098608,           0.0098608
                   5,            0.094632,            0.028158,            0.069668,           0.0011805,             0.24847,           0.0021038,          0.00053009,            0.077457,            0.017916,            0.065935,           0.0099505,           0.0099505,           0.0099505
                   6,             0.08975,            0.030158,            0.068945,              0.2168,            0.026361,           0.0012139,          0.00036143,             0.10004,            0.059213,             0.19273,           0.0099505,           0.0099505,           0.0099505
                   7,            0.086423,             0.03035,            0.067873,             0.28901,            0.029252,           0.0026664,           0.0015569,             0.10478,             0.20229,              1.0024,           0.0099406,           0.0099406,           0.0099406
                   8,            0.080639,            0.030113,            0.067373,           0.0031193,             0.12126,           0.0021004,          0.00023817,             0.10161,              3.1227,              2.4582,           0.0099307,           0.0099307,           0.0099307
                   9,            0.075634,            0.029238,             0.06507,          0.00014821,            0.061395,          0.00016316,          4.7989e-05,                 nan,                 nan,              5.2544,           0.0099208,           0.0099208,           0.0099208
                  10,            0.070826,            0.028466,            0.062752,          8.0167e-05,            0.005102,          5.8799e-05,          5.8799e-06,             0.10249,            0.028118,              1.8077,           0.0099109,           0.0099109,           0.0099109
                  11,            0.068255,            0.027839,            0.059724,          0.00092153,            0.049382,           0.0028502,          0.00090007,              0.0994,             0.01577,             0.36117,            0.009901,            0.009901,            0.009901
                  12,            0.063969,            0.027334,            0.057519,             0.74912,            0.055697,            0.039035,           0.0097768,            0.082032,            0.015075,            0.063756,           0.0098911,           0.0098911,           0.0098911
                  13,            0.062067,            0.026843,            0.055988,             0.23504,             0.11389,            0.032167,            0.010096,            0.068771,            0.014939,            0.063062,           0.0098812,           0.0098812,           0.0098812
                  14,            0.060066,            0.025764,            0.054147,             0.32981,              0.1002,            0.069319,              0.0301,            0.065076,             0.01418,            0.053822,           0.0098713,           0.0098713,           0.0098713
                  15,            0.058653,            0.024764,            0.052467,             0.44033,              0.2088,            0.098287,            0.039808,            0.055975,            0.015836,            0.051051,           0.0098614,           0.0098614,           0.0098614
                  16,            0.057353,            0.024376,            0.051824,             0.47038,             0.15553,             0.11548,            0.046079,            0.061653,            0.014987,            0.057951,           0.0098515,           0.0098515,           0.0098515
                  17,            0.055102,            0.024099,            0.049879,             0.48174,             0.27907,             0.19055,            0.083562,             0.05192,            0.014129,            0.044994,           0.0098416,           0.0098416,           0.0098416
                  18,            0.052991,            0.023294,            0.049509,             0.44934,             0.31977,             0.26227,             0.11324,            0.050322,            0.014053,            0.047702,           0.0098317,           0.0098317,           0.0098317
                  19,             0.05356,            0.024325,            0.046938,             0.31658,             0.40287,             0.28819,             0.13514,            0.051306,            0.014007,            0.043002,           0.0098218,           0.0098218,           0.0098218
                  20,            0.051356,            0.022084,            0.046224,             0.46717,             0.45627,             0.36858,             0.17602,            0.047055,            0.013735,            0.041181,           0.0098119,           0.0098119,           0.0098119
                  21,            0.051233,            0.022465,            0.046492,             0.38205,             0.43326,             0.36802,             0.18244,            0.045713,            0.012415,            0.042244,            0.009802,            0.009802,            0.009802
                  22,             0.05165,            0.022923,            0.043267,             0.35072,             0.43829,             0.28731,              0.1255,            0.048076,            0.012924,            0.043093,           0.0097921,           0.0097921,           0.0097921
                  23,            0.049797,            0.023095,            0.041069,             0.40424,             0.40938,             0.30151,             0.14592,            0.047575,            0.012584,            0.040503,           0.0097822,           0.0097822,           0.0097822
                  24,             0.04886,            0.021575,            0.039255,              0.2781,             0.46365,             0.40746,             0.22454,            0.043825,            0.013047,            0.036343,           0.0097723,           0.0097723,           0.0097723
                  25,            0.047194,            0.021469,            0.039858,             0.42391,             0.52137,             0.47745,             0.22781,            0.044507,             0.01275,             0.03485,           0.0097624,           0.0097624,           0.0097624
                  26,             0.04843,             0.02142,            0.038502,              0.5392,             0.59512,             0.56074,             0.30324,            0.039972,            0.012579,            0.032644,           0.0097525,           0.0097525,           0.0097525
                  27,            0.047075,            0.020943,            0.037676,             0.54042,             0.56182,             0.52939,             0.29259,            0.041797,            0.011448,            0.031774,           0.0097426,           0.0097426,           0.0097426
                  28,            0.046885,            0.021308,            0.034624,             0.57009,             0.58373,              0.6178,             0.34606,             0.03831,            0.011633,            0.030989,           0.0097327,           0.0097327,           0.0097327
                  29,            0.047437,            0.019761,            0.033127,             0.49398,             0.45427,             0.52864,             0.25634,            0.044905,            0.011363,            0.034201,           0.0097228,           0.0097228,           0.0097228
                  30,            0.047127,            0.020551,            0.032566,             0.65888,             0.52372,             0.61901,             0.33398,            0.039939,            0.011359,            0.030529,           0.0097129,           0.0097129,           0.0097129
                  31,            0.046121,            0.020195,            0.032448,             0.57458,              0.5677,             0.53526,             0.27945,            0.042594,            0.011354,            0.032658,            0.009703,            0.009703,            0.009703
